To, Location
LCD_DATA[2] ,PIN_H1
LCD_DATA[3] ,PIN_H2
LCD_DATA[4] ,PIN_J4
LCD_DATA[5] ,PIN_J3
LCD_DATA[6] ,PIN_H4
LCD_DATA[7] ,PIN_H3
LCD_ON ,PIN_L4
LCD_BLON ,PIN_K2

GPIO_0[0],PIN_D25
GPIO_0[1],PIN_J22
GPIO_0[2],PIN_E26
GPIO_0[3],PIN_E25
GPIO_0[4],PIN_F24
GPIO_0[5],PIN_F23
GPIO_0[6],PIN_J21
GPIO_0[7],PIN_J20
GPIO_0[8],PIN_F25
GPIO_0[9],PIN_F26
GPIO_0[10],PIN_N18
GPIO_0[11],PIN_P18
GPIO_0[12],PIN_G23
GPIO_0[13],PIN_G24
GPIO_0[14],PIN_K22
GPIO_0[15],PIN_G25
GPIO_0[16],PIN_H23
GPIO_0[17]	,PIN_H24
GPIO_0[18]	,PIN_J23
GPIO_0[19]	,PIN_J24
GPIO_0[20]	,PIN_H25
GPIO_0[21]	,PIN_H26
GPIO_0[22]	,PIN_H19
GPIO_0[23]	,PIN_K18
GPIO_0[24]	,PIN_K19
GPIO_0[25]	,PIN_K21
GPIO_0[26]	,PIN_K23
GPIO_0[27]	,PIN_K24
GPIO_0[28]	,PIN_L21
GPIO_0[29]	,PIN_L20
GPIO_0[30]	,PIN_J25
GPIO_0[31]	,PIN_J26
GPIO_0[32]	,PIN_L23
GPIO_0[33]	,PIN_L24
GPIO_0[34]	,PIN_L25
GPIO_0[35]	,PIN_L19
GPIO_1[0]	,PIN_K25
GPIO_1[1]	,PIN_K26
GPIO_1[2]	,PIN_M22
GPIO_1[3]	,PIN_M23
GPIO_1[4]	,PIN_M19
GPIO_1[5],PIN_M20
GPIO_1[6],PIN_N20
GPIO_1[7],PIN_M21
GPIO_1[8],PIN_M24
GPIO_1[9],PIN_M25
GPIO_1[10],PIN_N24
GPIO_1[11],PIN_P24
GPIO_1[12],PIN_R25
GPIO_1[13],PIN_R24
GPIO_1[14],PIN_R20
GPIO_1[15],PIN_T22
GPIO_1[16],PIN_T23
GPIO_1[17],PIN_T24
GPIO_1[18],PIN_T25
GPIO_1[19],PIN_T18
GPIO_1[20],PIN_T21
GPIO_1[21],PIN_T20
GPIO_1[22],PIN_U26
GPIO_1[23],PIN_U25
GPIO_1[24],PIN_U23
GPIO_1[25],PIN_U24
GPIO_1[26],PIN_R19
GPIO_1[27],PIN_T19
GPIO_1[28],PIN_U20
GPIO_1[29],PIN_U21
GPIO_1[30],PIN_V26
GPIO_1[31],PIN_V25
GPIO_1[32],PIN_V24
GPIO_1[33],PIN_V23
GPIO_1[34],PIN_W25
GPIO_1[35],PIN_W23


